time_stamp,AmbientConditions.AmbientHumidity.U.Actual,AmbientConditions.AmbientTemperature.U.Actual,Machine1.RawMaterial.Property1,Machine1.RawMaterial.Property2,Machine1.RawMaterial.Property3,Machine1.RawMaterial.Property4,Machine1.RawMaterialFeederParameter.U.Actual,Machine1.Zone1Temperature.C.Actual,Machine1.Zone2Temperature.C.Actual,Machine1.MotorAmperage.U.Actual,Machine1.MotorRPM.C.Actual,Machine1.MaterialPressure.U.Actual,Machine1.MaterialTemperature.U.Actual,Machine1.ExitZoneTemperature.C.Actual,Machine2.RawMaterial.Property1,Machine2.RawMaterial.Property2,Machine2.RawMaterial.Property3,Machine2.RawMaterial.Property4,Machine2.RawMaterialFeederParameter.U.Actual,Machine2.Zone1Temperature.C.Actual,Machine2.Zone2Temperature.C.Actual,Machine2.MotorAmperage.U.Actual,Machine2.MotorRPM.C.Actual,Machine2.MaterialPressure.U.Actual,Machine2.MaterialTemperature.U.Actual,Machine2.ExitZoneTemperature.C.Actual,Machine3.RawMaterial.Property1,Machine3.RawMaterial.Property2,Machine3.RawMaterial.Property3,Machine3.RawMaterial.Property4,Machine3.RawMaterialFeederParameter.U.Actual,Machine3.Zone1Temperature.C.Actual,Machine3.Zone2Temperature.C.Actual,Machine3.MotorAmperage.U.Actual,Machine3.MotorRPM.C.Actual,Machine3.MaterialPressure.U.Actual,Machine3.MaterialTemperature.U.Actual,Machine3.ExitZoneTemperature.C.Actual,FirstStage.CombinerOperation.Temperature1.U.Actual,FirstStage.CombinerOperation.Temperature2.U.Actual,FirstStage.CombinerOperation.Temperature3.C.Actual,Stage1.Output.Measurement0.U.Actual,Stage1.Output.Measurement0.U.Setpoint,Stage1.Output.Measurement1.U.Actual,Stage1.Output.Measurement1.U.Setpoint,Stage1.Output.Measurement2.U.Actual,Stage1.Output.Measurement2.U.Setpoint,Stage1.Output.Measurement3.U.Actual,Stage1.Output.Measurement3.U.Setpoint,Stage1.Output.Measurement4.U.Actual,Stage1.Output.Measurement4.U.Setpoint,Stage1.Output.Measurement5.U.Actual,Stage1.Output.Measurement5.U.Setpoint,Stage1.Output.Measurement6.U.Actual,Stage1.Output.Measurement6.U.Setpoint,Stage1.Output.Measurement7.U.Actual,Stage1.Output.Measurement7.U.Setpoint,Stage1.Output.Measurement8.U.Actual,Stage1.Output.Measurement8.U.Setpoint,Stage1.Output.Measurement9.U.Actual,Stage1.Output.Measurement9.U.Setpoint,Stage1.Output.Measurement10.U.Actual,Stage1.Output.Measurement10.U.Setpoint,Stage1.Output.Measurement11.U.Actual,Stage1.Output.Measurement11.U.Setpoint,Stage1.Output.Measurement12.U.Actual,Stage1.Output.Measurement12.U.Setpoint,Stage1.Output.Measurement13.U.Actual,Stage1.Output.Measurement13.U.Setpoint,Stage1.Output.Measurement14.U.Actual,Stage1.Output.Measurement14.U.Setpoint,Machine4.Temperature1.C.Actual,Machine4.Temperature2.C.Actual,Machine4.Pressure.C.Actual,Machine4.Temperature3.C.Actual,Machine4.Temperature4.C.Actual,Machine4.Temperature5.C.Actual,Machine4.ExitTemperature.U.Actual,Machine5.Temperature1.C.Actual,Machine5.Temperature2.C.Actual,Machine5.Temperature3.C.Actual,Machine5.Temperature4.C.Actual,Machine5.Temperature5.C.Actual,Machine5.Temperature6.C.Actual,Machine5.ExitTemperature.U.Actual,Stage2.Output.Measurement0.U.Actual,Stage2.Output.Measurement0.U.Setpoint,Stage2.Output.Measurement1.U.Actual,Stage2.Output.Measurement1.U.Setpoint,Stage2.Output.Measurement2.U.Actual,Stage2.Output.Measurement2.U.Setpoint,Stage2.Output.Measurement3.U.Actual,Stage2.Output.Measurement3.U.Setpoint,Stage2.Output.Measurement4.U.Actual,Stage2.Output.Measurement4.U.Setpoint,Stage2.Output.Measurement5.U.Actual,Stage2.Output.Measurement5.U.Setpoint,Stage2.Output.Measurement6.U.Actual,Stage2.Output.Measurement6.U.Setpoint,Stage2.Output.Measurement7.U.Actual,Stage2.Output.Measurement7.U.Setpoint,Stage2.Output.Measurement8.U.Actual,Stage2.Output.Measurement8.U.Setpoint,Stage2.Output.Measurement9.U.Actual,Stage2.Output.Measurement9.U.Setpoint,Stage2.Output.Measurement10.U.Actual,Stage2.Output.Measurement10.U.Setpoint,Stage2.Output.Measurement11.U.Actual,Stage2.Output.Measurement11.U.Setpoint,Stage2.Output.Measurement12.U.Actual,Stage2.Output.Measurement12.U.Setpoint,Stage2.Output.Measurement13.U.Actual,Stage2.Output.Measurement13.U.Setpoint,Stage2.Output.Measurement14.U.Actual,Stage2.Output.Measurement14.U.Setpoint
2019-03-06 12:05:27,16.63,23.77,11.54,200,963.0,247,1291.87,72.0,72.6,70.9,10.55,411.88,81.1,75.1,12.85,241,556.7,256,195.47,69.0,69.1,73.56,13.86,227.47,77.1,60.4,9.86,192,408.97,202,223.96,78.0,77.9,360.1,13.67,253.34,74.8,65.0,105.0,61.9,80.1,13.02,13.75,13.87,22.74,11.23,13.02,21.63,21.88,33.39,32.55,2.64,2.74,1.69,4.25,2.89,2.97,20.96,21.3,19.09,19.52,7.71,8.65,0.0,6.16,1.56,2.02,3.01,3.16,15.79,17.72,360.0,360.0,16.0,323.0,16.0,310.0,190.0,310.0,290.0,270.0,243.1,245.0,63.5,156.6,12.88,12.05,6.34,11.71,10.94,11,20.83,20.73,0.0,31.36,2.7,2.71,0.5,0.01,2.97,2.75,19.4,19.39,16.87,16.47,8.05,7.93,5.92,5.65,2.1,1.85,3.42,2.89,7.78,11.71
2019-03-06 12:05:28,16.63,23.77,11.54,200,963.0,247,1286.02,72.0,72.6,71.3,10.52,416.59,81.1,75.1,12.85,241,556.7,256,208.68,68.97,69.07,73.19,13.9,228.85,76.9,60.4,9.86,192,408.97,202,198.04,78.0,77.9,360.67,13.66,253.59,74.8,65.0,105.0,62.3,80.1,13.02,13.75,13.87,22.74,11.23,13.02,21.63,21.88,33.39,32.55,2.64,2.74,1.69,4.25,2.89,2.97,20.96,21.3,19.09,19.52,7.71,8.65,0.0,6.16,1.56,2.02,3.01,3.16,15.79,17.72,360.0,360.0,16.0,323.0,16.0,310.0,189.0,310.0,290.0,270.0,243.1,245.0,63.5,156.5,12.93,12.05,6.39,11.71,10.77,11,20.83,20.73,0.0,31.36,2.64,2.71,0.67,0.01,2.96,2.75,19.08,19.39,16.82,16.47,7.98,7.93,5.92,5.65,2.11,1.85,3.48,2.89,7.87,11.71
2019-03-06 12:06:01,16.63,23.77,11.54,200,963.0,247,1273.76,72.0,72.1,71.98,10.52,408.93,81.1,75.0,12.85,241,556.7,256,194.23,68.97,69.06,73.69,13.94,226.98,77.2,60.1,9.86,192,408.97,202,183.84,78.0,78.1,362.59,13.7,253.18,74.9,65.0,105.2,61.7,80.0,13.05,13.75,13.9,22.74,11.19,13.02,21.6,21.88,33.39,32.55,2.52,2.74,1.72,4.25,2.91,2.97,20.94,21.3,19.1,19.52,7.71,8.65,0.0,6.16,1.64,2.02,3.03,3.16,15.79,17.72,360.0,359.0,16.0,323.0,16.0,310.0,190.0,310.0,290.0,270.0,243.2,245.0,63.5,156.0,12.78,12.05,6.44,11.71,10.91,11,20.81,20.73,0.0,31.36,2.65,2.71,0.64,0.01,2.96,2.75,19.47,19.39,16.78,16.47,7.93,7.93,5.9,5.65,2.12,1.85,3.49,2.89,7.86,11.71
2019-03-06 12:06:02,16.63,23.77,11.54,200,963.0,247,1291.68,72.0,72.0,72.65,10.48,414.3,81.1,75.0,12.85,241,556.7,256,194.9,69.0,69.09,73.75,13.93,228.05,77.0,60.2,9.86,192,408.97,202,189.33,78.1,78.0,360.21,13.64,252.93,74.9,65.0,105.2,61.4,80.0,13.05,13.75,13.9,22.74,11.19,13.02,21.6,21.88,33.39,32.55,2.52,2.74,1.72,4.25,2.91,2.97,20.94,21.3,19.1,19.52,7.71,8.65,0.0,6.16,1.64,2.02,3.03,3.16,15.79,17.72,360.0,359.0,17.0,323.0,17.0,310.0,190.0,310.0,290.0,270.0,243.2,245.0,63.5,156.0,12.78,12.05,6.44,11.71,10.91,11,20.81,20.73,0.0,31.36,2.65,2.71,0.64,0.01,2.96,2.75,19.47,19.39,16.78,16.47,7.93,7.93,5.9,5.65,2.12,1.85,3.49,2.89,7.86,11.71
2019-03-06 12:07:06,16.63,23.77,11.54,200,963.0,247,1262.47,72.0,71.5,72.78,10.48,422.28,80.9,75.1,12.85,241,556.7,256,206.17,69.01,69.09,73.38,13.87,227.85,77.1,59.9,9.86,192,408.97,202,208.5,78.1,78.2,359.92,13.63,253.38,74.9,65.0,104.8,61.0,80.1,13.03,13.75,13.87,22.74,11.27,13.02,21.64,21.88,33.32,32.55,2.55,2.74,1.71,4.25,2.91,2.97,20.92,21.3,19.19,19.52,7.72,8.65,0.0,6.16,1.65,2.02,3.05,3.16,15.79,17.72,360.0,361.0,17.0,323.0,17.0,310.0,190.0,310.0,290.0,270.0,243.2,245.0,63.5,155.1,12.79,12.05,6.41,11.71,10.89,11,20.72,20.73,0.0,31.36,2.69,2.71,0.55,0.01,2.98,2.75,19.88,19.39,16.79,16.47,7.89,7.93,5.91,5.65,2.05,1.85,3.48,2.89,7.84,11.71
2019-03-06 12:07:07,16.63,23.77,11.54,200,963.0,247,1271.36,72.0,71.6,72.25,10.52,412.12,80.9,75.1,12.85,241,556.7,256,191.22,68.99,69.1,73.0,13.86,225.67,76.9,59.9,9.86,192,408.97,202,185.94,78.1,78.2,365.98,13.61,252.86,75.0,65.0,104.8,60.9,80.1,13.03,13.75,13.87,22.74,11.27,13.02,21.64,21.88,33.32,32.55,2.55,2.74,1.71,4.25,2.91,2.97,20.92,21.3,19.19,19.52,7.72,8.65,0.0,6.16,1.65,2.02,3.05,3.16,15.79,17.72,360.0,361.0,17.0,323.0,17.0,310.0,190.0,310.0,290.0,270.0,243.2,245.0,63.5,153.3,12.83,12.05,6.56,11.71,10.81,11,20.77,20.73,0.0,31.36,2.69,2.71,0.65,0.01,2.96,2.75,19.36,19.39,16.87,16.47,7.92,7.93,5.9,5.65,2.03,1.85,3.45,2.89,7.87,11.71
2019-03-06 12:07:16,16.63,23.77,11.54,200,963.0,247,1286.73,72.0,71.7,72.65,10.45,418.07,80.9,75.1,12.85,241,556.7,256,204.03,68.97,69.09,72.88,13.86,222.42,77.0,60.3,9.86,192,408.97,202,204.4,78.0,78.1,361.65,13.73,253.59,75.0,65.0,104.8,61.2,79.9,13.03,13.75,13.83,22.74,11.18,13.02,21.55,21.88,33.43,32.55,2.57,2.74,1.72,4.25,2.91,2.97,20.93,21.3,19.48,19.52,7.7,8.65,0.0,6.16,1.62,2.02,3.03,3.16,15.75,17.72,360.0,361.0,17.0,323.0,17.0,310.0,190.0,310.0,290.0,270.0,243.2,245.0,63.5,156.5,12.74,12.05,6.64,11.71,10.74,11,20.81,20.73,0.0,31.36,2.69,2.71,0.69,0.01,2.98,2.75,18.92,19.39,16.81,16.47,7.88,7.93,5.87,5.65,2.07,1.85,3.42,2.89,8.19,11.71
2019-03-06 12:07:17,16.63,23.77,11.54,200,963.0,247,1291.1,72.0,71.7,72.78,10.48,417.42,80.9,75.1,12.85,241,556.7,256,189.06,69.0,69.1,72.88,13.86,221.65,77.1,60.3,9.86,192,408.97,202,191.98,78.0,78.0,361.95,13.72,253.61,75.0,65.0,104.8,61.2,79.9,13.03,13.75,13.83,22.74,11.18,13.02,21.55,21.88,33.43,32.55,2.57,2.74,1.72,4.25,2.91,2.97,20.93,21.3,19.48,19.52,7.7,8.65,0.0,6.16,1.62,2.02,3.03,3.16,15.75,17.72,360.0,361.0,17.0,323.0,17.0,310.0,190.0,310.0,290.0,270.0,243.2,245.0,63.5,155.8,12.76,12.05,6.7,11.71,10.62,11,20.81,20.73,0.0,31.36,2.62,2.71,0.65,0.01,2.94,2.75,19.12,19.39,16.81,16.47,7.93,7.93,5.85,5.65,2.05,1.85,3.47,2.89,8.19,11.71
2019-03-06 12:07:18,16.63,23.77,11.54,200,963.0,247,1265.72,72.0,71.7,72.25,10.52,415.12,80.9,75.1,12.85,241,556.7,256,222.23,69.02,69.09,72.75,13.9,226.53,77.0,60.3,9.86,192,408.97,202,208.88,78.1,78.0,362.06,13.72,253.57,75.0,65.0,105.5,61.0,79.9,13.03,13.75,13.83,22.74,11.18,13.02,21.55,21.88,33.43,32.55,2.57,2.74,1.72,4.25,2.91,2.97,20.93,21.3,19.48,19.52,7.7,8.65,0.0,6.16,1.62,2.02,3.03,3.16,15.75,17.72,360.0,361.0,18.0,323.0,18.0,310.0,190.0,310.0,290.0,270.0,243.2,245.0,63.5,156.0,12.76,12.05,6.7,11.71,10.62,11,20.81,20.73,0.0,31.36,2.62,2.71,0.65,0.01,2.94,2.75,19.12,19.39,16.81,16.47,7.93,7.93,5.85,5.65,2.05,1.85,3.47,2.89,8.19,11.71
2019-03-06 12:07:58,16.63,23.77,11.54,200,963.0,247,1261.33,72.0,72.4,71.71,10.52,410.09,81.0,75.0,12.85,241,556.7,256,200.68,68.97,69.08,73.19,13.9,228.37,77.2,60.3,9.86,192,408.97,202,219.83,78.0,77.9,354.13,13.68,253.75,75.0,65.0,105.2,60.6,80.1,12.99,13.75,13.84,22.74,11.19,13.02,21.6,21.88,33.36,32.55,2.63,2.74,1.78,4.25,2.91,2.97,20.89,21.3,19.12,19.52,7.67,8.65,0.0,6.16,1.59,2.02,3.02,3.16,15.71,17.72,361.0,360.0,17.0,322.0,17.0,309.0,190.0,310.0,290.0,270.0,243.2,245.0,63.6,156.3,12.67,12.05,6.46,11.71,10.85,11,20.78,20.73,0.0,31.36,2.71,2.71,0.52,0.01,2.95,2.75,20.06,19.39,16.85,16.47,7.9,7.93,5.89,5.65,2.08,1.85,3.5,2.89,7.87,11.71
