time_stamp,AmbientConditions.AmbientHumidity.U.Actual,AmbientConditions.AmbientTemperature.U.Actual,Machine1.RawMaterial.Property1,Machine1.RawMaterial.Property2,Machine1.RawMaterial.Property3,Machine1.RawMaterial.Property4,Machine1.RawMaterialFeederParameter.U.Actual,Machine1.Zone1Temperature.C.Actual,Machine1.Zone2Temperature.C.Actual,Machine1.MotorAmperage.U.Actual,Machine1.MotorRPM.C.Actual,Machine1.MaterialPressure.U.Actual,Machine1.MaterialTemperature.U.Actual,Machine1.ExitZoneTemperature.C.Actual,Machine2.RawMaterial.Property1,Machine2.RawMaterial.Property2,Machine2.RawMaterial.Property3,Machine2.RawMaterial.Property4,Machine2.RawMaterialFeederParameter.U.Actual,Machine2.Zone1Temperature.C.Actual,Machine2.Zone2Temperature.C.Actual,Machine2.MotorAmperage.U.Actual,Machine2.MotorRPM.C.Actual,Machine2.MaterialPressure.U.Actual,Machine2.MaterialTemperature.U.Actual,Machine2.ExitZoneTemperature.C.Actual,Machine3.RawMaterial.Property1,Machine3.RawMaterial.Property2,Machine3.RawMaterial.Property3,Machine3.RawMaterial.Property4,Machine3.RawMaterialFeederParameter.U.Actual,Machine3.Zone1Temperature.C.Actual,Machine3.Zone2Temperature.C.Actual,Machine3.MotorAmperage.U.Actual,Machine3.MotorRPM.C.Actual,Machine3.MaterialPressure.U.Actual,Machine3.MaterialTemperature.U.Actual,Machine3.ExitZoneTemperature.C.Actual,FirstStage.CombinerOperation.Temperature1.U.Actual,FirstStage.CombinerOperation.Temperature2.U.Actual,FirstStage.CombinerOperation.Temperature3.C.Actual,Stage1.Output.Measurement0.U.Actual,Stage1.Output.Measurement0.U.Setpoint,Stage1.Output.Measurement1.U.Actual,Stage1.Output.Measurement1.U.Setpoint,Stage1.Output.Measurement2.U.Actual,Stage1.Output.Measurement2.U.Setpoint,Stage1.Output.Measurement3.U.Actual,Stage1.Output.Measurement3.U.Setpoint,Stage1.Output.Measurement4.U.Actual,Stage1.Output.Measurement4.U.Setpoint,Stage1.Output.Measurement5.U.Actual,Stage1.Output.Measurement5.U.Setpoint,Stage1.Output.Measurement6.U.Actual,Stage1.Output.Measurement6.U.Setpoint,Stage1.Output.Measurement7.U.Actual,Stage1.Output.Measurement7.U.Setpoint,Stage1.Output.Measurement8.U.Actual,Stage1.Output.Measurement8.U.Setpoint,Stage1.Output.Measurement9.U.Actual,Stage1.Output.Measurement9.U.Setpoint,Stage1.Output.Measurement10.U.Actual,Stage1.Output.Measurement10.U.Setpoint,Stage1.Output.Measurement11.U.Actual,Stage1.Output.Measurement11.U.Setpoint,Stage1.Output.Measurement12.U.Actual,Stage1.Output.Measurement12.U.Setpoint,Stage1.Output.Measurement13.U.Actual,Stage1.Output.Measurement13.U.Setpoint,Stage1.Output.Measurement14.U.Actual,Stage1.Output.Measurement14.U.Setpoint,Machine4.Temperature1.C.Actual,Machine4.Temperature2.C.Actual,Machine4.Pressure.C.Actual,Machine4.Temperature3.C.Actual,Machine4.Temperature4.C.Actual,Machine4.Temperature5.C.Actual,Machine4.ExitTemperature.U.Actual,Machine5.Temperature1.C.Actual,Machine5.Temperature2.C.Actual,Machine5.Temperature3.C.Actual,Machine5.Temperature4.C.Actual,Machine5.Temperature5.C.Actual,Machine5.Temperature6.C.Actual,Machine5.ExitTemperature.U.Actual,Stage2.Output.Measurement0.U.Actual,Stage2.Output.Measurement0.U.Setpoint,Stage2.Output.Measurement1.U.Actual,Stage2.Output.Measurement1.U.Setpoint,Stage2.Output.Measurement2.U.Actual,Stage2.Output.Measurement2.U.Setpoint,Stage2.Output.Measurement3.U.Actual,Stage2.Output.Measurement3.U.Setpoint,Stage2.Output.Measurement4.U.Actual,Stage2.Output.Measurement4.U.Setpoint,Stage2.Output.Measurement5.U.Actual,Stage2.Output.Measurement5.U.Setpoint,Stage2.Output.Measurement6.U.Actual,Stage2.Output.Measurement6.U.Setpoint,Stage2.Output.Measurement7.U.Actual,Stage2.Output.Measurement7.U.Setpoint,Stage2.Output.Measurement8.U.Actual,Stage2.Output.Measurement8.U.Setpoint,Stage2.Output.Measurement9.U.Actual,Stage2.Output.Measurement9.U.Setpoint,Stage2.Output.Measurement10.U.Actual,Stage2.Output.Measurement10.U.Setpoint,Stage2.Output.Measurement11.U.Actual,Stage2.Output.Measurement11.U.Setpoint,Stage2.Output.Measurement12.U.Actual,Stage2.Output.Measurement12.U.Setpoint,Stage2.Output.Measurement13.U.Actual,Stage2.Output.Measurement13.U.Setpoint,Stage2.Output.Measurement14.U.Actual,Stage2.Output.Measurement14.U.Setpoint
2019-03-06 10:55:12,17.24,23.53,11.54,200,963.0,247,1242.38,72.0,72.1,46.68,10.52,422.81,78.9,75.1,12.59,236,601.11,257,227.8,69.09,69.51,72.44,13.93,230.88,72.3,60.4,9.02,186,421.16,200,227.94,78.2,78.2,339.05,13.7,246.72,66.7,65.1,104.2,112.0,80.1,12.76,13.75,11.36,22.74,11.66,13.02,21.96,21.88,31.03,32.55,0.0,2.74,4.16,4.25,2.87,2.97,20.67,21.3,17.61,19.52,7.99,8.65,5.47,6.16,0.0,2.02,2.73,3.16,15.55,17.72,363.0,368.0,18.0,314.0,18.0,305.0,54.0,309.9,289.9,264.5,237.6,245.1,65.2,153.0,0.0,12.05,0.0,11.71,0.0,11,0.0,20.73,31.11,31.36,2.22,2.71,0.07,0.01,0.0,2.75,0.0,19.39,0.0,16.47,0.0,7.93,0.0,5.65,0.0,1.85,0.0,2.89,0.0,11.71
2019-03-06 10:55:13,17.24,23.53,11.54,200,963.0,247,1246.38,72.0,72.1,46.55,10.45,407.37,79.0,75.1,12.59,236,601.11,257,214.69,69.09,69.62,72.81,13.91,235.62,72.5,60.4,9.02,186,421.16,200,229.95,78.2,78.2,339.24,13.63,246.71,66.7,65.1,104.4,112.3,80.1,12.76,13.75,11.36,22.74,11.66,13.02,21.96,21.88,31.03,32.55,0.0,2.74,4.16,4.25,2.87,2.97,20.67,21.3,17.61,19.52,7.99,8.65,5.47,6.16,0.0,2.02,2.73,3.16,15.55,17.72,363.0,368.0,18.0,314.0,18.0,305.0,54.0,309.9,289.9,264.5,237.6,245.1,65.1,151.7,0.0,12.05,0.0,11.71,0.0,11,0.0,20.73,31.11,31.36,2.22,2.71,0.07,0.01,0.0,2.75,0.0,19.39,0.0,16.47,0.0,7.93,0.0,5.65,0.0,1.85,0.0,2.89,0.0,11.71
2019-03-06 10:55:33,17.24,23.53,11.54,200,963.0,247,1168.02,71.9,72.4,45.47,10.48,414.39,79.2,75.1,12.59,236,601.11,257,223.98,68.99,69.59,72.44,13.91,234.43,72.8,59.7,9.02,186,421.16,200,213.39,78.4,77.9,338.85,13.62,246.74,66.8,65.1,104.2,111.4,80.1,12.79,13.75,11.51,22.74,11.61,13.02,21.93,21.88,30.98,32.55,0.0,2.74,3.96,4.25,2.89,2.97,20.73,21.3,17.56,19.52,7.96,8.65,5.47,6.16,0.0,2.02,2.74,3.16,15.75,17.72,363.0,365.0,17.0,315.0,17.0,304.0,54.0,310.0,289.9,264.6,237.7,245.0,65.0,150.8,0.0,12.05,4.93,11.71,4.11,11,0.0,20.73,30.54,31.36,3.74,2.71,0.27,0.01,2.5,2.75,0.0,19.39,0.0,16.47,0.0,7.93,0.0,5.65,0.0,1.85,6.4,2.89,8.1,11.71
2019-03-06 10:55:34,17.24,23.53,11.54,200,963.0,247,1215.45,71.9,72.4,45.34,10.52,413.02,79.2,75.1,12.59,236,601.11,257,211.26,68.97,69.61,72.69,13.91,233.13,72.6,59.7,9.02,186,421.16,200,219.89,78.4,78.0,340.37,13.69,246.73,66.8,65.1,104.2,112.1,80.1,12.75,13.75,11.44,22.74,11.61,13.02,21.94,21.88,30.99,32.55,0.0,2.74,4.07,4.25,2.92,2.97,20.7,21.3,17.59,19.52,7.91,8.65,5.45,6.16,1.71,2.02,2.75,3.16,15.63,17.72,363.0,365.0,17.0,314.0,17.0,304.0,54.0,310.0,289.9,264.6,237.7,245.0,65.0,150.1,0.0,12.05,0.0,11.71,0.0,11,0.0,20.73,29.97,31.36,2.02,2.71,0.02,0.01,1.87,2.75,0.0,19.39,0.0,16.47,0.0,7.93,0.0,5.65,0.66,1.85,4.54,2.89,0.0,11.71
2019-03-06 10:55:35,17.24,23.53,11.54,200,963.0,247,1237.31,71.9,72.4,45.61,10.48,410.43,79.2,75.1,12.59,236,601.11,257,212.32,68.99,69.52,72.88,13.89,235.75,72.8,59.8,9.02,186,421.16,200,208.82,78.4,78.0,351.53,13.66,246.51,66.8,65.1,104.2,111.7,80.1,12.75,13.75,11.44,22.74,11.61,13.02,21.94,21.88,30.99,32.55,0.0,2.74,4.07,4.25,2.92,2.97,20.7,21.3,17.59,19.52,7.91,8.65,5.45,6.16,1.71,2.02,2.75,3.16,15.63,17.72,363.0,364.0,17.0,314.0,17.0,304.0,54.0,310.0,289.9,264.6,237.7,245.0,65.0,151.0,0.0,12.05,0.0,11.71,0.0,11,0.0,20.73,29.97,31.36,2.02,2.71,0.02,0.01,1.87,2.75,0.0,19.39,0.0,16.47,0.0,7.93,0.0,5.65,0.66,1.85,4.54,2.89,0.0,11.71
2019-03-06 10:56:28,17.24,23.53,11.54,200,963.0,247,1116.92,72.0,72.6,46.41,10.48,404.61,79.8,75.1,12.59,236,601.11,257,224.75,69.03,69.09,72.25,13.87,230.93,73.3,60.3,9.02,186,421.16,200,219.9,78.3,78.0,348.85,13.7,245.2,67.1,65.2,104.9,112.7,80.1,12.76,13.75,11.44,22.74,11.65,13.02,21.94,21.88,30.85,32.55,0.0,2.74,4.2,4.25,2.89,2.97,20.72,21.3,17.66,19.52,8.03,8.65,5.48,6.16,1.66,2.02,2.74,3.16,15.6,17.72,362.0,362.0,17.0,314.0,17.0,304.0,56.0,310.1,290.0,264.8,237.9,245.0,64.8,147.3,0.0,12.05,0.0,11.71,0.0,11,0.0,20.73,30.35,31.36,2.26,2.71,0.52,0.01,2.45,2.75,0.0,19.39,0.0,16.47,0.0,7.93,0.0,5.65,0.3,1.85,3.53,2.89,0.0,11.71
2019-03-06 10:56:29,17.24,23.53,11.54,200,963.0,247,1122.95,72.0,72.6,46.01,10.52,414.29,79.8,75.1,12.59,236,601.11,257,201.44,68.98,69.1,72.44,13.85,229.75,73.3,60.3,9.02,186,421.16,200,216.12,78.3,78.0,336.74,13.68,245.15,67.1,65.2,104.8,111.9,80.1,12.76,13.75,11.44,22.74,11.65,13.02,21.94,21.88,30.85,32.55,0.0,2.74,4.2,4.25,2.89,2.97,20.72,21.3,17.66,19.52,8.03,8.65,5.48,6.16,1.66,2.02,2.74,3.16,15.6,17.72,362.0,362.0,18.0,314.0,18.0,304.0,56.0,310.0,290.0,264.8,237.9,245.0,64.8,147.4,0.0,12.05,0.0,11.71,0.0,11,0.0,20.73,30.35,31.36,2.26,2.71,0.52,0.01,2.45,2.75,0.0,19.39,0.0,16.47,0.0,7.93,0.0,5.65,0.3,1.85,3.53,2.89,0.0,11.71
2019-03-06 10:56:31,17.24,23.53,11.54,200,963.0,247,1241.19,72.0,72.6,46.55,10.48,418.75,79.8,75.1,12.59,236,601.11,257,233.92,68.97,69.09,72.5,13.9,235.17,73.3,60.2,9.02,186,421.16,200,227.39,78.3,78.0,339.73,13.61,245.2,67.1,65.2,104.8,111.9,80.1,12.76,13.75,11.37,22.74,11.65,13.02,21.94,21.88,30.95,32.55,0.0,2.74,4.23,4.25,2.9,2.97,20.72,21.3,17.75,19.52,8.04,8.65,5.58,6.16,0.0,2.02,3.36,3.16,15.55,17.72,363.0,362.0,17.0,314.0,17.0,304.0,57.0,310.0,290.0,264.8,237.9,245.0,64.8,146.3,0.0,12.05,0.0,11.71,0.0,11,0.0,20.73,29.99,31.36,2.04,2.71,0.04,0.01,1.81,2.75,0.0,19.39,0.0,16.47,0.0,7.93,0.0,5.65,0.15,1.85,5.13,2.89,0.0,11.71
2019-03-06 10:56:32,17.24,23.53,11.54,200,963.0,247,1249.21,72.0,72.6,46.55,10.48,402.75,79.8,75.1,12.59,236,601.11,257,211.18,68.99,69.08,72.44,13.94,235.38,73.4,60.2,9.02,186,421.16,200,208.39,78.3,77.9,341.86,13.7,245.14,67.2,65.2,104.7,112.1,80.1,12.74,13.75,11.46,22.74,11.68,13.02,21.95,21.88,30.97,32.55,0.0,2.74,4.25,4.25,2.9,2.97,20.72,21.3,17.7,19.52,7.98,8.65,5.5,6.16,0.0,2.02,2.8,3.16,15.57,17.72,363.0,362.0,17.0,314.0,17.0,304.0,57.0,310.0,290.0,264.8,237.9,245.1,64.8,146.8,0.0,12.05,0.0,11.71,0.0,11,0.0,20.73,30.07,31.36,2.3,2.71,0.05,0.01,1.81,2.75,0.0,19.39,0.0,16.47,0.0,7.93,0.0,5.65,0.0,1.85,5.37,2.89,0.0,11.71
2019-03-06 10:56:50,17.24,23.53,11.54,200,963.0,247,1325.65,72.1,72.3,46.95,10.48,413.05,79.9,75.1,12.59,236,601.11,257,218.62,69.0,69.09,72.5,13.91,232.58,73.5,59.8,9.02,186,421.16,200,218.77,78.3,77.9,342.39,13.64,245.13,67.2,65.2,104.6,112.0,80.0,12.76,13.75,11.4,22.74,11.7,13.02,21.94,21.88,30.95,32.55,0.0,2.74,4.13,4.25,2.88,2.97,20.75,21.3,17.75,19.52,8.02,8.65,5.59,6.16,0.0,2.02,3.35,3.16,15.54,17.72,361.0,362.0,18.0,313.0,18.0,304.0,56.0,310.0,290.0,264.9,237.9,244.9,64.7,147.5,0.0,12.05,0.0,11.71,0.0,11,21.13,20.73,30.85,31.36,2.46,2.71,0.36,0.01,2.48,2.75,0.0,19.39,0.0,16.47,0.0,7.93,0.0,5.65,0.22,1.85,3.72,2.89,0.0,11.71
